id,image,price,name,brand,num
8018252693732,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230809145409-Front-jpg-1.jpg?v=1691591071,4100,Christian Dior Medium Coral Python Lady Dior Bag with Silver Hardware,Christian Dior,6
7995433844964,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230621160405-Front-jpg-1.jpg?v=1687362204,5650,Chanel Emerald Green Small Flap Bag with Brushed Gold Chain Top Handle in Lambskin Leather,Chanel,7
7979075829988,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230518161030-Front-jpg-1.jpg?v=1684423719,4950,Chanel Vintage Caramel Medium Double Flap Bag in Lambskin with 24K Gold Hardware,Chanel,8
8016430301412,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230804120519-Side-JPEG-1.jpg?v=1691154658,250,Saint Laurent Mens Black Leather Crossbody Bag with Silver Hardware,Europe,1
8029192257764,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230909173253-Front-jpg-1.jpg?v=1694595901,5150,Chanel Hot Pink Metallic Tweed Mini Rectangular Bag with Silver Hardware,Chanel,2
8029553426660,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230911121602-Side-JPEG-1.jpg?v=1694428994,5950,*RARE* Chanel Caramel Mini Square Bag in Lambskin Leather with Champagne Gold Hardware,Chanel,3
8025293881572,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230829165526-front-JPEG-1.jpg?v=1693321797,3850,Chanel Yellow Raffia Small Deauville Tote Bag with Silver Hardware,Chanel,4
8006855852260,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230715112445-Front-jpg-1.jpg?v=1689417972,1740,*FIRE PRICE* Chanel Navy Small Quilted CC Logo Camera Bag in Lambskin Leather Ruthenium Hardware,Chanel,5
7997972512996,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230626103937-Front-jpg-1.jpg?v=1687780598,10950,Hermès Vintage Kelly Bag 32cm Sellier in Black Box Calf Leather with Gold Hardware,Hermes,7
8019162595556,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230811151443-front-JPEG-1.jpg?v=1691762261,10650,Hermes Kelly Bag 32cm Retourne in Black Box Leather with Palladium Hardware,Europe,8
7945538568420,https://cdn.shopify.com/s/files/1/0249/3343/3419/products/P230301162909-Front-jpg-1.jpg?v=1677689083,39950,Hermès Birkin Bag 30cm in Braise Shiny Niloticus with Palladium Hardware,Hermes,1
8034726871268,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230923153040-Front-jpg-1.jpg?v=1695481524,3650,Chanel Teal Blue Medium Boy Bag in Lambskin Leather with Ruthenium Hardware,Chanel,2
8011702239460,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230724124527-Front-jpg-1.jpg?v=1690201720,8750,Hermès Constance Bag 24cm in Black Swift Leather with Palladium Hardware,Hermes,3
8024957550820,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230828150413-8-jpg-1.jpg?v=1694601348,5450,*HOT* Chanel Turquoise Blue Tweed Mini Rectangular Bag with Champagne Gold Hardware,Chanel,4
8017574068452,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230807153537-Front-jpg-1.jpg?v=1691420162,5950,*HOT* Chanel Medium Boy Bag in Gold Metallic Sequin CC Star Print with Silver Hardware,Chanel,5
8020245774564,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230814130936-Front-jpg-1.jpg?v=1692016703,2050,Chanel Midnight Blue Leather Chevron Stitched Belt Bag with Gold Hardware,Chanel,6
7652853514468,https://cdn.shopify.com/s/files/1/0249/3343/3419/products/P220513175413-Side-jpg-1.jpg?v=1652462049,3150,Chanel Powder Grey Suede Quilted Flap Bag with Gold Hardware,40off,7
8033169866980,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230919135441-Front-jpg-1.jpg?v=1695129781,1550,Gucci Blue Python Dionysus Medium Embellished Bag with Silver Hardware,Gucci,8
8016521691364,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230805152624-Side-jpg-1.jpg?v=1691250767,3150,Christian Dior Large Pink Python Lady Dior Bag with Silver Hardware RRP £5600,Dior,1
8034769993956,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230924111521-Frontimagerightshoe-jpg-1.jpg?v=1695554064,365,Alaïa Beige Leather Bombe Sandal Heels Size EU 35.5,Alaia,3
8025737265380,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230830170538-Front-jpg-1.jpg?v=1693412845,21950,*STORE FRESH* Hermès Kelly Bag 28cm Sellier Bag in Black Epsom Leather with Gold Hardware,Hermes,4
7969226981604,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230426172111-Front-jpg-1.jpg?v=1682527730,6250,Chanel Metallic Black Python Small Single Flap Bag with Ruthenium Textured Hardware,Chanel,5
7811922854116,https://cdn.shopify.com/s/files/1/0249/3343/3419/products/P220928094937-Front-jpg-1.jpg?v=1664360348,3350,Chanel Vintage Limited Edition Gold Metallic Python Top Handle Bag,bf10,6
8003999138020,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230707175843-Front-jpg-1.jpg?v=1688808485,3750,Chanel White Chevron Flap Bag in Calfskin Leather with Brushed Gold Hardware,Chanel,7
7968372162788,https://cdn.shopify.com/s/files/1/0249/3343/3419/products/P230424162404-Front-jpg-1.jpg?v=1695473224,2650,Hermès Mini Evelyne Bag in Capucine Clemence Leather with Palladium Hardware,Hermes,8
7965880778980,https://cdn.shopify.com/s/files/1/0249/3343/3419/products/P230417101949-Side-jpg-1.jpg?v=1681730688,5650,Chanel Black Vintage XL Flap Bag in Lambskin Leather with 24K Gold Hardware,Chanel,1
7984404529380,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230531101206-Front-jpg-1.jpg?v=1685526111,3250,Chanel Black Quilted CC Lambskin Bag with Strap Detailing,Chanel,3
8022241902820,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230819115425-Front-jpg-1.jpg?v=1692445342,5650,Chanel Green Mini Rectangular Bag in Lambskin Leather with  Champagne Gold Hardware,Chanel,5
7947547771108,https://cdn.shopify.com/s/files/1/0249/3343/3419/products/P230306172443-Front-jpg-1.jpg?v=1678124571,510,Tods Blue Velvet Clutch Bag with Silver Hardware,ebay,7
8026974126308,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230904140127-Side-jpg-1.jpg?v=1693844775,3950,*HOT* Chanel Pistachio Green Canvas Small Deauville Tote Bag with Champagne Gold Hardware,Chanel,1
